firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2021-04-25, Sales Assistant,"Former Employee, more than 3 years","Washington, North East England, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,No progression,"Hourly pay rate, double time on bank holidays. Colleagues.","Lack of progression opportunities. Unsociable hours. No family life as always working weekend late shifts. The new efficiency way of working means management constantly cutting hours so barely able
To work past 30 hours a week. Internal politics. Lazy backstabbing management. Petty playground like attitude amongst management. No regard to mental health, although they pretend they care about this issue they do not help support people
Suffering. Always understaffed so staff working like slaves. No staff discount. No bonus scheme unless your management on prod bonus."
ALDI,2021-05-04, Store Assistant,"Former Employee, more than 1 year","Aylesbury, England, England",4,2.0,4.0,4.0,2.0,3.0,4.0,x,r,v,Hard work but makes time fly.,Always busy. Active work. Good team culture.,Customers are ****. Late shifts are awful.
ALDI,2021-05-17, Aldi,"Current Employee, more than 3 years","Birmingham, England, England",3,3.0,3.0,4.0,3.0,4.0,3.0,o,o,o,Ok,"Brilliant salary. Organised, efficient comapny",High expectations. Demanding role and targets
ALDI,2021-05-26, Manager,"Current Employee, more than 1 year","London, England, England",3,2.0,2.0,4.0,3.0,3.0,3.0,v,r,r,manager,overtime overtime overtime overtime overtime,say goodbye to weekend and evening
ALDI,2021-01-08, Shop Assistant,"Former Employee, more than 5 years","Llandudno, Wales, Wales",5,5.0,4.0,5.0,5.0,4.0,5.0,v,v,v,Brilliant company and great place to work!,Flexible hours (really understanding of other commitments) and great pay,None to speak of. Great company!
ALDI,2021-05-06, Sales Assistant,Current Employee,"York, England, England",3,1.0,3.0,1.0,2.0,1.0,2.0,o,o,o,Aldi,Fast pace working environment always busy,Management don’t really listen when.p you need days off
ALDI,2021-04-18, Sales Associate,"Current Employee, less than 1 year","Milton Keynes, England, England",1,1.0,2.0,3.0,1.0,2.0,1.0,x,o,x,HORRIBLE,"nothing, management can be rude","Everything, maximum of 30 minutes break"
ALDI,2020-10-19, Store Assistant,"Current Employee, more than 5 years","Glasgow, Scotland, Scotland",4,1.0,2.0,2.0,3.0,3.0,2.0,o,o,o,Good place,repetitive so you get use to what to do,Very Hard work and fast pace
ALDI,2021-03-31, Graduate Area Manager,"Former Employee, less than 1 year","London, England, England",1,1.0,1.0,2.0,3.0,5.0,1.0,x,r,x,Total lack of support and they will work you to the bone,"Salary, great benefits, area manager job good (its just getting there)","60+ hour weeks - shift patterns change during your store training time, be prepared for some shifts with a 5am or earlier start and some shifts with a 10pm finish. All in the same week. 

No work/life balance - you do not get two consecutive days off in my experience, any time you come home the management have put such a large amount of pressure on you that you end up worrying at home, or sleeping because your sleep pattern is so up and down - expect some nights with 5hrs sleep. 

Unfair expectations - in the job during store manager time you are expected to anticipate things that are way beyond your experience. When you get to the grading period, you are left to sink or swim regardless of whether you have experienced something before. 

Mentors - this is a very poor description of what Aldi provide. These ""mentors"" are the people that critically evaluate your performance. They are given assessor roles which means that there is no where to turn to in the organisation if you are having issues without it being marked against you."
ALDI,2020-10-28, Sales Assistant,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",5,3.0,4.0,5.0,4.0,4.0,4.0,v,r,v,Everyday is different but also same familiar routine,"Team work, pay is okay, depending on the manager you get some weekends off, always extra shifts if your wanting more, t","Must be flexible, may be sat at a till for 11 hours straight minus your half an hour break, targets are also quite hard to meet"
ALDI,2021-06-03, Customer Service,Current Employee,"Edinburgh, Scotland, Scotland",5,2.0,5.0,5.0,5.0,5.0,5.0,v,v,v,FUN,"If you like to work in a busy environment , so good very good for you! :) The people is Amazing, and the pay is good .",Different rotas all the weeks
ALDI,2020-10-23, Deputy Manager,Current Employee,"Leicester, England, England",3,2.0,2.0,3.0,3.0,3.0,1.0,x,r,r,Physical and fast paced but the time goes fast,Can be flexible and time goes fast,Can be very repetitive and higher management are not always the most understanding
ALDI,2021-02-13, Buying Assistant,Current Employee,"Coventry, England, England",4,5.0,4.0,4.0,2.0,5.0,4.0,v,r,v,Good company,"Great pay
Good benefits 
Very honest",Not many opportunities to develop
ALDI,2021-01-08, Store Assistant,"Current Employee, more than 3 years","Crewe, England, England",3,2.0,3.0,3.0,3.0,4.0,3.0,v,o,v,Good Company,"Pay, Bonuses, Holidays, Staff perks,","Long irregular Work hours, fast paced environment"
ALDI,2021-03-31, Aldi Store Assistant,"Current Employee, more than 1 year","Leicester, England, England",5,3.0,4.0,5.0,5.0,4.0,4.0,v,v,v,Great company to work for,"Good pay, hard but rewarding work.","30 minute breaks for 10 hour shift, but it is paid for."
ALDI,2020-12-01, Store Assistant,"Current Employee, more than 3 years","Middleton, Greater Manchester, North West England, England, England",2,1.0,1.0,5.0,2.0,4.0,2.0,x,r,x,Not enough care about staff. Can be poor work life balance,Pay that’s about it sadly,Managers don’t care about staff or feelings
ALDI,2020-12-21, Store Assistant,"Current Employee, more than 1 year","Chester, England, England",4,5.0,4.0,5.0,4.0,3.0,5.0,v,v,v,Physically hard work,Busy and nice people who work as a team.,Physically hard work and can become abit repetitive.
ALDI,2020-10-13, Shop Assistant,Former Employee,"Redcar, England, England",2,1.0,2.0,2.0,2.0,2.0,2.0,o,o,o,Aldi,Good pay good holiday allowance,Poor work life balance and management
ALDI,2020-11-14, Area Manager,"Former Employee, more than 1 year","London, England, England",3,1.0,2.0,1.0,3.0,3.0,1.0,x,r,r,Challenging but rewarding,"High level of responsibility, challenging workload, work with people from diverse backgrounds","Unsocial hours, high tax due to car, lack of structured training, no qualifications, isolated role"
ALDI,2021-02-16, Store Manager,Current Employee,"Newquay, England, England",5,2.0,3.0,1.0,1.0,3.0,1.0,v,r,v,Privately Owned - Like a Family Business,Exciting Business experience for future management roles,"Minimum Staff 
Wage Similar to other Retailers"
ALDI,2021-04-25, Store Assistant,"Current Employee, more than 3 years","Stoke-on-Trent, England, England",1,1.0,1.0,2.0,1.0,2.0,1.0,x,x,x,heavy workload,"keeps you fit, you will never stop and managers won't let you slow down","you are just the number with no opinion, need to be able to meet all targets set by your manager otherwise you are punished with a warning
there is no progression prospects, if you started as a store assistant, you will stay as a store assistant. If you wanna be a manager you have to be recruited as a manager. e.g. become a manager at Asda, then apply to be a manager in Aldi. This is the only way. You have no say when to work and to have a day off and you have to be flexible 24/7"
ALDI,2020-11-17, Shelf Stacker,"Former Employee, less than 1 year","Nottingham, England, England",4,3.0,4.0,3.0,4.0,3.0,3.0,v,v,v,Aldi Shelf Stacker,Good pay for the work,Long hours and boring work
ALDI,2021-03-04, Store Assistant,"Current Employee, less than 1 year","Oxford, England, England",2,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Awful place to work,Living wage pay was decent,Managers do not see staff as people
ALDI,2021-05-05, Store Assistant,Current Employee,"Leicester, England, England",3,2.0,2.0,2.0,2.0,2.0,2.0,x,x,x,Okay for a temporary job,Decent hourly pay and okay staff,"Feels like a 0 hour contract , you have to be given 25 hours minimum but you might not even work for those 25 hours"
ALDI,2020-11-03, Unemployed,Former Employee,"Norwich, England, England",1,1.0,2.0,2.0,1.0,2.0,1.0,x,r,r,Poor progression,Good amount of hours in aldi,"Understaffed all the time
No progression chances 
Ran by area managers that have been to uni with no experience telling people eith experience what to do"
ALDI,2021-02-11, Deputy Manager,"Former Employee, more than 3 years","Maidstone, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company - great people,The people you work with and company culture.,Sometimes feels not all work is achievable in the given time.
ALDI,2020-10-22, Manager,"Current Employee, more than 5 years","Swindon, Wiltshire, South West England, England, England",2,1.0,3.0,5.0,2.0,2.0,1.0,x,r,x,Great start - expect too much,"In the right store this job can be very rewarding
Pay is very good
Sick pay good
Pension excellent","Long hours (48 per week for salary managers)
No support from HR / area managers
Often short staffed
State weekends off will rotate but very very rarely can you do this
Suggest you can do 40 contract hours but never offered"
ALDI,2021-04-23, Store Assistant,"Former Employee, more than 1 year","Aylesbury, England, England",4,2.0,5.0,4.0,2.0,2.0,4.0,x,r,r,Fast paced job.,"Good team culture, no clock watching.",Hard if not impossible to reach targets on occasion
ALDI,2021-04-02, Deputy Store Manager,"Current Employee, more than 5 years","Northampton, England, England",5,2.0,4.0,5.0,4.0,3.0,5.0,v,v,v,Decent,Good pay and decent colleagues,Heavy workload and high stress
ALDI,2021-03-16, Caretaker,"Former Employee, less than 1 year","Stratford-upon-Avon, England, England",3,5.0,3.0,3.0,5.0,5.0,2.0,o,o,o,Cleaner,Hourly pay rates were ok,Too many ( so called ) managers
ALDI,2021-02-15, Store Assistant,"Current Employee, more than 1 year","Nottingham, England, England",5,2.0,5.0,5.0,3.0,3.0,3.0,v,o,v,Salary,Good team there also benefits are good,No work life balance really
ALDI,2021-02-01, Deputy Manager,"Current Employee, more than 3 years","London, England, England",1,1.0,2.0,5.0,4.0,3.0,5.0,x,r,v,No work life Balance,"Good pay
Great team work
Good rates of progression.","No work life balance 
Extremely demanding physically 
Not suitable if you have physical limitations"
ALDI,2021-02-07, Store Assistant,"Former Employee, less than 1 year","London, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,avoid if you can,It was close from home,"-10 hours contract at first despite the requests
-the company doesn't follow its own policies
-poor management and bullying 
-no team spirit
-modern slavery 
-low salary"
ALDI,2021-04-07, Store Manager,"Current Employee, more than 3 years","Canterbury, England, England",5,3.0,5.0,3.0,3.0,5.0,4.0,v,v,v,Input = Output,Pay is very good but you’ll woo for it,Progression limited at certain levels and an arbitrary requirements for a degree to progress
ALDI,2021-05-06, Deputy Manager,"Current Employee, more than 3 years","Worthing, South East England, England, England",4,1.0,4.0,3.0,2.0,1.0,1.0,v,r,v,Hard work for good money,"Good salary, good team, night shift premium","Working times, long hours, my particular store manager"
ALDI,2020-10-20, Aldi Store Assistant,Current Employee,"Southend, Scotland, Scotland",4,3.0,4.0,5.0,4.0,4.0,4.0,v,r,v,Good money but you are just a number.,Great pay and benefits with friendly co workers,Managers don’t care how Ill you may be and how much of a life you have outside of work.
ALDI,2021-03-10, Aldi Area Manager Graduate Scheme,Former Employee,"London, England, England",3,2.0,2.0,2.0,4.0,5.0,1.0,o,o,o,Not what it says on the tin.,"High Pay
Leadership Training from early stage","Poor Management
Nasty Culture
Limited Work Life Balance"
ALDI,2021-01-09, Deputy Manager,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",4,3.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Great company to work for,"Good management at the top
Store level management can vary","Can be physically hard
Some managers need retrained"
ALDI,2021-03-27, Store Assistant,"Current Employee, less than 1 year","Northampton, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,The people I work with,The limited amount of hours
ALDI,2020-11-27, Anonymous Employee,Current Employee,"London, England, England",3,4.0,2.0,2.0,2.0,2.0,2.0,x,o,o,Ok,Easy job easy buckets yes,Low life dead pay no food
ASDA,2020-10-18, Shelf Stacker,"Former Employee, less than 1 year","Bedminster, England, England",3,3.0,1.0,4.0,1.0,1.0,3.0,o,o,o,Asda Pay,Very good pay for the job,"either boring job or really stressful, no inbetween"
ASDA,2021-03-08, Warehouse Worker,"Former Employee, less than 1 year","South Elmsall, England, England",1,3.0,1.0,5.0,1.0,1.0,1.0,x,x,r,Ridiculous targets,Reliable job. Not gonna go bust,"Picking targets too high, had to work through lunch break to achieve and I was not alone. Common enough practice."
ASDA,2021-01-14, Asda,"Current Employee, more than 1 year","London, England, England",3,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,great,really fun and exciting yeah,none i loved evrything about it
ASDA,2021-01-12, Store Assistant,"Current Employee, less than 1 year","Edinburgh, Scotland, Scotland",5,5.0,5.0,5.0,4.0,5.0,4.0,v,v,v,Fare company good salary's,"friendly athmosphere ,Understanding managers ,always listen to you first",there is not any downsides working there
ASDA,2020-11-17, Service Colleague,"Former Employee, more than 1 year","Glasgow, Scotland, Scotland",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Positive experience,"Great work environment
Gain valuable experience working with customers and with colleagues",The lack of training in certain areas.
ASDA,2021-01-09, Customer Service Representative,"Former Employee, less than 1 year","London, England, England",5,3.0,3.0,4.0,4.0,2.0,5.0,v,v,o,Customer service,Great company to work for 10% discount,Long hours and last minute
ASDA,2021-02-21, Front End Cashier,Current Employee,"Glasgow, Scotland, Scotland",4,3.0,3.0,4.0,2.0,1.0,1.0,o,o,o,Asda,"- flexible
- friendly people
- good pay","-feel a but pressured to do overtime at Christmas
reject a lot of holidays"
ASDA,2021-02-11, QAE,Former Employee,Bangalore,4,4.0,4.0,4.0,4.0,4.0,4.0,o,o,o,better approach,"awesome work place, nice people","nothing much. sometime more work, late night have to work"
ASDA,2020-11-24, Services Colleague,"Current Employee, more than 3 years","Cardiff, Wales, Wales",4,4.0,4.0,4.0,2.0,3.0,4.0,v,v,v,My store is great,"Flexible hours, lots of overtime available, friendly colleagues","Abusive customers, policies can sometimes be unclear"
ASDA,2021-03-16, Front End Colleague,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",4,4.0,4.0,4.0,2.0,3.0,4.0,v,o,o,fast paced,"good people, good. wage, good holiday pay","boring tasks, understaffed, lack of opportunities at times"
ASDA,2021-01-13, Customer Service,"Former Employee, more than 1 year","Liverpool, England, England",4,4.0,3.0,4.0,4.0,4.0,4.0,v,v,v,Good company,Great discount and flexible hours,Rude customers and poor pay
ASDA,2020-11-01, Section Leader,Current Employee,"Blyth, North East England, England, England",3,2.0,3.0,3.0,3.0,4.0,3.0,x,v,v,Not bad,"Good wage
Competitive benefits
Flexible working
Good annual leave entitlement","Cliquey 
More expected of you than first informed of
Questionable people practices"
ASDA,2021-03-25, Night section Manager,"Current Employee, more than 10 years","Bolton, England, England",2,2.0,3.0,4.0,3.0,3.0,2.0,x,r,r,Ok in the short term,"Salary, bonus, team, discount card","Long hours, not enough days off together, blame culture, not very organised"
ASDA,2021-04-01, Customer Assistant,"Current Employee, less than 1 year","Darlington, North East England, England, England",3,2.0,3.0,5.0,1.0,3.0,3.0,v,r,r,xxx,nice environment to work in,none to note as of yet
ASDA,2021-01-19, Personal Shopper,Current Employee,"Bradford, Yorkshire and the Humber, England, England",3,3.0,4.0,4.0,5.0,4.0,3.0,x,o,r,Asda,Brilliant flexible in the comfort of your own home,Timings and nothing else really
ASDA,2021-01-23, Store Colleague,"Former Employee, more than 1 year","Walsall, England, England",5,4.0,4.0,5.0,3.0,3.0,3.0,v,v,v,Good work,"- seasonal work, decent pay",-Managers can be difficult to work with
ASDA,2021-03-31, Customer Assistant,"Former Employee, more than 3 years","Edinburgh, Scotland, Scotland",3,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,Asda,Meet some good people there,It is a hard and tiring job
ASDA,2021-04-24, Warehouse Associate,"Current Employee, more than 1 year","Dartford, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Perfect,"-Great management, respectful towards ethics and religion
-Face Paced
-Medium Labour
-Great Pay
-Good Hours","-Sometimes holidays are hard to book, but managements can often sort it out"
ASDA,2021-02-09, Manager,"Current Employee, more than 3 years","Manchester, England, England",5,4.0,5.0,5.0,5.0,5.0,4.0,v,v,v,Great,"Good team work, bonuses are good, promotional prospects are good",None to report at present
ASDA,2021-05-13, Merchandising Analyst,Current Employee,"Leeds, England, England",3,3.0,4.0,2.0,4.0,3.0,4.0,o,o,o,Grading and pay is a little off,Good employee atmosphere and flexible working,Grading for job roles isn’t correct for some jobs meaning you may get paid less than you should
ASDA,2020-10-27, Customer Assistant,Current Employee,"Glasgow, Scotland, Scotland",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great,Nice staff and good pay,Couldn’t fault it one bit
ASDA,2021-02-21, Department Manager,Current Employee,"Lutterworth, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good,Good pay and great team,Limited places for promotion and more
ASDA,2021-05-25, Customer Service,Current Employee,"Caldicot, Wales, Wales",5,4.0,5.0,5.0,4.0,4.0,5.0,v,v,v,Asda,"Variety, 
reliability, 
long-term,
 flexibility, 
fair",No extra pay for bank hols unless xmas
ASDA,2021-05-14, Customer Service,"Current Employee, less than 1 year","Birmingham, England, England",3,4.0,3.0,3.0,3.0,3.0,4.0,v,v,v,Good,It is a good job,It can become boring you see
ASDA,2020-10-27, Loader,"Former Employee, more than 1 year","Lancaster, England, England",3,5.0,3.0,4.0,3.0,1.0,2.0,x,r,x,Loading,"Busy, lots of overtime, friendly colleagues",My manager was unpleasant and widely disliked amongst staff.
ASDA,2021-01-22, Sales Assistant,Former Employee,"Clacton-on-Sea, England, England",5,5.0,5.0,5.0,5.0,5.0,1.0,x,v,v,Great team,Great staff members and managers are nice and outgoing,"No cons, never had any problems."
ASDA,2021-04-28, Retail,"Former Employee, less than 1 year","Glasgow, Scotland, Scotland",5,5.0,5.0,5.0,5.0,5.0,4.0,v,v,v,All good,Good employer experience overall and don’t push you beyond your own person limit,"Not many cons with this company, late hours is the only issue for restock"
ASDA,2021-04-09, Sales Associate/Cashier,"Former Employee, more than 1 year","London, OH",3,2.0,2.0,2.0,3.0,2.0,2.0,x,r,x,Hard work,"discount items , i love chicken",long night shifts in the night
ASDA,2021-02-01, Dot Com Personal Shopper,"Former Employee, less than 1 year","Leyton, England, England",2,1.0,2.0,2.0,2.0,2.0,1.0,x,x,r,They’ll most likely get rid of you within the probation period so you’re not entitled to the staff benefits,"Once you know how the palm pad works, it’s pretty straightforward 

Can be left to get on with tasks 

Other shop floor colleagues are like a big team","Management are on your back constantly

Physically demanding/mentally monotonous/

Target driven/speed watchers 

Not flexible in hours/day changes

No career progression

High staff turnover

Mostly offered temp contracts to avoid hiring staff longer than probation period so they’re not eligible for staff ‘benefits’

Pay is rubbish"
ASDA,2020-10-08, Sales Associate/Cashier,"Former Employee, more than 1 year","Ashton-under-Lyne, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,r,Amazing time,"Great team and manager
Good benefits
Long hours","Wage is average
Becomes tiring after a while"
ASDA,2020-10-12, Security Colleague,"Current Employee, more than 3 years","Billingham, England, England",3,3.0,2.0,4.0,3.0,2.0,2.0,v,r,r,Typical retail,"Good pay
Not too fussy when it comes to work","typical retail shenanigans
managers can be annoying"
ASDA,2021-05-03, Shelf Stocker,Current Employee,"Coventry, England, England",5,4.0,5.0,5.0,4.0,4.0,5.0,v,v,v,Asda,Happy and caring place for workers,Can be a little straining
ASDA,2020-10-05, Section Leader,"Current Employee, more than 8 years","Portadown, Craigavon, Northern Ireland, Northern Ireland",1,1.0,1.0,1.0,3.0,1.0,1.0,x,r,r,Bad company to work for,Colleagues are friendly the work itself isn’t hard,Bad management. Poor pay. Rude customers. Always picking up the slack of other departments.
ASDA,2020-10-29, Store Colleague,"Former Employee, less than 1 year","Sunderland, North East England, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,Horrible.,"Breaks, fire alarms, annual leave, fresh air, smoking area.","Workplace bullying, little or no security, unoffical hierarchy, egotistically driven, money grabbing."
ASDA,2020-11-10, Home Shopping Picker,Current Employee,"Cookstown, Northern Ireland, Northern Ireland",5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,r,So far so good,"Flexible, friendly, uniform, good staff facilities, and plenty of hygiene supplies re covid.","3 weeks in still no ""key card"", but should be issued on next shift, no discount until 3 months probation served, which for me means afterchristmas, which sucksa bit."
ASDA,2020-10-15, Seasonal Sales Assistant,"Current Employee, more than 1 year","Peterborough, England, England",5,3.0,4.0,4.0,4.0,3.0,2.0,v,o,o,Great place to work,"All colleagues are super lovely and friendly, great pay, opportunities for promotion and to try different departments",Poor communication to part time workers
ASDA,2021-02-14, Driver/Picker/Cashier,"Former Employee, more than 1 year","Thurmaston, England, England",4,4.0,5.0,5.0,5.0,4.0,4.0,o,o,o,Can't complain,Very understanding about mental health issues,Some supervisors thought they were God
ASDA,2021-01-12, Sales Associate,Current Employee,"Doncaster, England, England",3,5.0,4.0,5.0,4.0,3.0,2.0,x,v,r,Ok company,Always got hours for you good pay and lovely staff work around your family,Managers are not always nice
ASDA,2021-02-02, Sales Associate,"Current Employee, more than 1 year","Romford, England, England",4,5.0,3.0,5.0,3.0,3.0,5.0,v,v,v,work,easy work and very friendly colleagues,customers can be really annoying
ASDA,2021-02-09, Warehouse Associate,"Former Employee, more than 1 year","Dunstable, England, England",4,4.0,5.0,5.0,3.0,3.0,2.0,v,r,r,Had a lot of fun,"Great people
Flexible working hours
Always over time","Pay rate was bad. 
Progression"
ASDA,2021-02-09, Shop Floor Colleague,"Former Employee, more than 3 years","Gloucester, England, England",3,3.0,2.0,3.0,3.0,2.0,1.0,x,x,r,It was okay,"Great team, hard working people","Inflexible hours, management were not good, very self centred employer"
ASDA,2020-11-03, Asda,"Former Employee, less than 1 year","Chorley, England, England",5,5.0,5.0,5.0,3.0,3.0,3.0,v,r,r,Good,Great environment and great colleagues,It could get tiring sometimes being on your feet
ASDA,2021-02-05, Delivery Driver,"Current Employee, less than 1 year","Cardiff, Wales, Wales",3,3.0,3.0,3.0,3.0,3.0,3.0,x,r,r,Like the job but the pay is poor!,Good people to work with,Very poor pay for the work carried out.
ASDA,2020-12-02," Shop Floor Assistant, Tills, and Pricer",Former Employee,Mangalore,5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,r,Good,Pay was good and people nice.,It was stressful dealing with customers
ASDA,2021-02-10, Category Planner,Current Employee,"Houston, TX",3,3.0,3.0,3.0,3.0,3.0,3.0,v,r,r,Category Planning Advisor,Share save is a bonus,Bonus isn’t great unless you earn high
ASDA,2021-04-30, Cashier,"Former Employee, more than 1 year","Bilston, England, England",4,4.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Good,I enjoyed working at asda,"Difficult work, too many jobs given at once."
ASDA,2021-05-21, Shop Assistant,"Former Employee, more than 1 year","Sheffield, England, England",2,4.0,2.0,1.0,4.0,2.0,1.0,x,r,r,Good,"Hours, staff members, discount, blah blah","Pay, not allowed to park on premises, blah blah blah blah"
ASDA,2021-04-23, MI Analyst,Current Employee,"Leeds, England, England",4,3.0,3.0,2.0,3.0,3.0,3.0,x,v,r,Ok,Discount in all the stores,Change of ownership has reduced benefits package
ASDA,2021-01-30, Software Engineer,Current Employee,Rusia,5,5.0,5.0,5.0,5.0,5.0,3.0,v,v,v,Good,no with much effort i put in,yes to yst see some information
ASDA,2021-02-20, ASDA Colleague,"Current Employee, more than 1 year","Heston, England, England",3,3.0,3.0,3.0,3.0,2.0,3.0,v,x,v,Bla,U get paid on time,Boring work also very repetitive
ASOS,2021-05-25, Buyers Administrator,"Former Employee, more than 1 year","London, England, England",1,2.0,2.0,2.0,1.0,3.0,1.0,x,x,r,"Good perks, poor management and support culture","Discount, free gym, sample sale, good subsidised staff canteen","Poor management who are completely detached from the processes involved in entry level roles, lack of support for new employees, difficult to progress (very rigid promotion structure where you have to be in specific roles for a certain amount of time before being 'allowed' to be put forward for promotions), don't often have enough time in the day to make use of any of the perks, lots of staff are extremely unhappy and the retention rate within teams is low."
ASOS,2021-01-20, Customer Service Adviser,"Former Employee, more than 1 year","Watford, East of England, England, England",5,1.0,5.0,5.0,1.0,4.0,2.0,x,o,x,Yes or No? Depends how much desperate you are,Drink; Friday parties; Shuttle Bus; DISCOUNTS; FRIENDSHIPS;TEAM WORK,"No progress,No progress,No progress,No progress,No progress,"
